time;eventTag;eventType;eventName;attributeName;attributeValue
0;GameController;Gameplay;ScoreUpdate;ScoreValue;0
3.3;Player;KeyDown;DownArrow;NONE;0
3.46;Player;AxisInput;Vertical;Value;0
3.58;Player;KeyDown;LeftControl;NONE;0
3.580893;Player;PlayerControl;Shoot;PositionX;0
3.580893;Player;PlayerControl;Shoot;PositionY;0
3.66;Player;KeyDown;Ctrl+RightArrow;NONE;0
3.8;Player;KeyUp;Ctrl+RightArrow;NONE;0
3.839209;Player;PlayerControl;Shoot;PositionX;0.437916
3.839209;Player;PlayerControl;Shoot;PositionY;0
3.98;Enemy;Collision;Destroyed;NONE;0
3.98;GameController;Gameplay;ScoreUpdate;ScoreValue;10
4.04;Player;KeyDown;Ctrl+LeftArrow;NONE;0
4.079419;Player;AxisInput;Vertical;Value;-0.1624158
4.096434;Player;PlayerControl;Shoot;PositionX;0.4527918
4.096434;Player;PlayerControl;Shoot;PositionY;0
4.2;Player;AxisInput;Horizontal;Value;-0.5461118
4.3;Enemy;Collision;Destroyed;NONE;0
4.3;GameController;Gameplay;ScoreUpdate;ScoreValue;20
4.35629;Player;PlayerControl;Shoot;PositionX;-1.146762
4.35629;Player;PlayerControl;Shoot;PositionY;0
4.44;Player;KeyUp;Ctrl+LeftArrow;HoldTime;0.4000001
4.54;Player;KeyDown;Ctrl+RightArrow;NONE;0
4.54;Player;AxisInput;Horizontal;Value;0
4.610508;Player;PlayerControl;Shoot;PositionX;-2.680925
4.610508;Player;PlayerControl;Shoot;PositionY;0
4.72;Player;AxisInput;Horizontal;Value;0.5277035
4.78;Enemy;Collision;Destroyed;NONE;0
4.78;GameController;Gameplay;ScoreUpdate;ScoreValue;30
4.863209;Player;PlayerControl;Shoot;PositionX;-1.154766
4.863209;Player;PlayerControl;Shoot;PositionY;0
4.88;Enemy;Collision;Destroyed;NONE;0
4.88;GameController;Gameplay;ScoreUpdate;ScoreValue;40
4.94;Player;KeyUp;Ctrl+RightArrow;HoldTime;0.4000001
5.02;Player;KeyUp;LeftControl;HoldTime;1.44
5.26;Player;AxisInput;Horizontal;Value;0
